WABA Name,Product,Conversations,Total
 1LINK Pvt. Ltd / 3140216019586684,France - Service,6,0.54
,Germany - Service,18,1.45
,Italy - Service,28,1.10
,Malaysia - Service,13,0.26
,Netherlands - Service,2,0.18
,Nigeria - Service,3,0.09
,North America - Service,29,0.28
,Other - Service,27,0.35
,Pakistan - Service,1716,24.37
,Rest of Africa - Service,11,0.43
,Rest of Asia Pacific - Service,31,0.67
,Rest of Central & Eastern Europe - Service,8,0.23
,Rest of Latin America - Service,1,0.04
,Rest of Middle East - Service,1085,23.64
,Rest of Western Europe - Service,29,1.16
,Saudi Arabia - Service,1877,36.63
,South Africa - Service,17,0.30
,Spain - Service,11,0.42
,United Arab Emirates - Service,983,18.72
,United Kingdom - Service,53,2.09
 Askari Bank Limited / 1460871660923590,France - Service,2,0.18
,Germany - Service,3,0.24
,India - Service,1,0.00
,Italy - Service,1,0.04
,Malaysia - Service,6,0.12
,Netherlands - Service,1,0.09
,Nigeria - Service,3,0.09
,North America - Service,23,0.23
,Other - Service,17,0.21
,Pakistan - Service,13225,187.78
,Rest of Africa - Service,4,0.16
,Rest of Asia Pacific - Service,17,0.35
,Rest of Central & Eastern Europe - Service,3,0.09
,Rest of Middle East - Service,34,0.72
,Rest of Western Europe - Service,6,0.24
,Saudi Arabia - Service,43,0.86
,Spain - Service,1,0.04
,United Arab Emirates - Service,63,1.26
,United Kingdom - Service,28,1.12
 Baitussalam Welfare Trust / 1922591004588625,Nigeria - Service,1.0,0.03
,Other - Service,1.0,0.01
,Pakistan - Service,106.0,1.51
,Pakistan - Utility,57.0,1.47
,Rest of Africa - Service,1.0,0.04
,Rest of Asia Pacific - Service,1.0,0.02
,Saudi Arabia - Service,1.0,0.02
,Turkey - Service,1.0,0.00
,United Kingdom - Service,1.0,0.04
 Brandverse Private Limited / 724147788177285,Nigeria - Authentication,1.0,0.03
,Pakistan - Authentication,50.0,1.15
,Pakistan - Utility,563.0,14.22
,Saudi Arabia - Authentication,1.0,0.02
,United Kingdom - Authentication,2.0,0.08
 BRKZ Inc. / 107883342167465,Egypt - Authentication,46.0,2.80
,Egypt - Marketing,13.0,1.41
,Egypt - Utility,20.0,1.40
,Pakistan - Authentication,40.0,0.93
,Pakistan - Marketing,67.0,3.13
,Pakistan - Utility,14.0,0.40
,Saudi Arabia - Authentication,118.0,2.68
,Saudi Arabia - Marketing,473.0,19.16
,Saudi Arabia - Utility,174.0,4.42
,United Arab Emirates - Authentication,5.0,0.10
,United Arab Emirates - Marketing,5.0,0.15
,United Arab Emirates - Utility,2.0,0.04
 Central Depository Company of Pakistan Limited / 331343811947796,North America - Authentication,4.0,0.04
,Pakistan - Authentication,112.0,2.57
,Pakistan - Utility,78.0,2.01
,Rest of Asia Pacific - Authentication,1.0,0.04
,Rest of Middle East - Authentication,4,0.08
,Saudi Arabia - Authentication,24,0.53
,Saudi Arabia - Marketing,2,0.08
,United Arab Emirates - Authentication,9,0.18
,United Arab Emirates - Utility,2,0.04
,United Kingdom - Utility,2,0.08
 DKR Pvt Ltd / 115003725030542,Pakistan - Authentication,9,0.20
,Rest of Middle East - Authentication,1,0.02
,United Kingdom - Authentication,1,0.04
 DOLMEN REAL ESTATE MANAGEMENT PRIVATE LIMITED / 114849191629588,North America - Service,2,0.02
,Pakistan - Service,159,2.27
,United Arab Emirates - Service,1,0.02
 Dr. Essa Laboratory and Diagnostic Centre / 106441255456506,North America - Service,5,0.05
,Pakistan - Service,1131,16.05
,Rest of Asia Pacific - Service,6,0.12
,Rest of Central & Eastern Europe - Service,1,0.03
,Rest of Middle East - Service,8,0.16
,Saudi Arabia - Service,6,0.12
,United Arab Emirates - Service,3,0.06
,United Kingdom - Service,4,0.16
 Dubai Islamic Bank Pakistan Limited / 110365351862790,Germany - Marketing,1,0.14
,Pakistan - Marketing,244,11.54
,Pakistan - Service,13,0.18
,Rest of Africa - Marketing,1,0.02
,Rest of Latin America - Marketing,1,0.07
,Rest of Middle East - Marketing,1,0.03
,Saudi Arabia - Marketing,5,0.20
,United Arab Emirates - Marketing,28,0.92
,United Arab Emirates - Service,2,0.04
,United Kingdom - Marketing,1.0,0.07
 E Ocean Demo / 641795496537994,Germany - Marketing,1.0,0.14
,India - Marketing,1.0,0.01
,North America - Marketing,2.0,0.05
,Pakistan - Marketing,5.0,0.23
,United Arab Emirates - Marketing,1.0,0.03
 Eocean / 2217714998374729,Pakistan - Marketing,20.0,0.95
,Pakistan - Utility,1.0,0.03
,Rest of Middle East - Marketing,1.0,0.03
,United Arab Emirates - Marketing,1.0,0.03
,United Arab Emirates - Utility,1.0,0.02
 Etisalcom Bahrain / 619662482605953,Rest of Middle East - Marketing,2.0,0.07
 German Medical Centre / 105215895650231,Rest of Middle East - Utility,1.0,0.02
 HABIB BANK LIMITED / 453433399040037,Argentina - Service,1.0,0.03
,Brazil - Service,3.0,0.09
,Chile - Service,2.0,0.10
,Egypt - Service,3.0,0.18
,France - Service,22.0,1.93
,Germany - Service,57.0,4.67
,India - Service,20.0,0.05
,Indonesia - Service,5.0,0.10
,Italy - Service,73.0,2.85
,Malaysia - Service,124.0,2.73
,Netherlands - Service,12.0,1.08
,Nigeria - Service,22,0.66
,North America - Service,362,3.20
