WABA Name,Product,Conversations,Total
 1LINK Pvt. Ltd / 3140216019586684,Brazil - Service,1,0.03
,France - Service,12,1.06
,Germany - Service,22,1.77
,Italy - Service,48,1.89
,Malaysia - Service,12,0.24
,Netherlands - Service,1,0.09
,Nigeria - Service,4,0.12
,North America - Service,40,0.39
,Other - Service,21,0.24
,Pakistan - Service,2084,29.58
,Rest of Africa - Service,2,0.08
,Rest of Asia Pacific - Service,39,0.83
,Rest of Central & Eastern Europe - Service,10,0.28
,Rest of Middle East - Service,1487,32.42
,Rest of Western Europe - Service,34,1.36
,Saudi Arabia - Service,2176,42.45
,South Africa - Service,19,0.34
,Spain - Service,23,0.87
,United Arab Emirates - Service,1114,21.21
,United Kingdom - Service,72,2.85
 Askari Bank Limited / 1460871660923590,France - Marketing,2,0.28
,France - Service,1,0.09
,France - Utility,2,0.16
,Germany - Utility,1,0.09
,Indonesia - Marketing,1,0.04
,Indonesia - Utility,1,0.02
,Italy - Marketing,1,0.07
,Italy - Utility,1,0.04
,Malaysia - Marketing,5,0.45
,Malaysia - Service,7,0.14
,Malaysia - Utility,4,0.08
,Netherlands - Utility,2,0.16
,Nigeria - Utility,1,0.03
,North America - Marketing,13,0.37
,North America - Service,5,0.05
,North America - Utility,17,0.29
,Other - Marketing,3,0.18
,Other - Service,2,0.02
,Other - Utility,4,0.12
,Pakistan - Marketing,2562,121.17
,Pakistan - Service,3658,51.93
,Pakistan - Utility,3531,89.38
,Rest of Africa - Utility,1,0.02
,Rest of Asia Pacific - Marketing,7,0.50
,Rest of Asia Pacific - Service,2,0.04
,Rest of Asia Pacific - Utility,8,0.39
,Rest of Central & Eastern Europe - Marketing,1,0.09
,Rest of Middle East - Marketing,17,0.55
,Rest of Middle East - Service,17,0.36
,Rest of Middle East - Utility,18,0.36
,Rest of Western Europe - Marketing,1,0.06
,Rest of Western Europe - Service,3,0.12
,Rest of Western Europe - Utility,4,0.16
,Saudi Arabia - Marketing,21,0.84
,Saudi Arabia - Service,9,0.18
,Saudi Arabia - Utility,30,0.82
,South Africa - Marketing,2,0.08
,South Africa - Service,1,0.02
,South Africa - Utility,2,0.04
,Spain - Marketing,1,0.06
,Spain - Service,1,0.04
,Spain - Utility,1,0.04
,United Arab Emirates - Marketing,40,1.33
,United Arab Emirates - Service,25,0.49
,United Arab Emirates - Utility,45,0.90
,United Kingdom - Marketing,18,1.26
,United Kingdom - Service,8,0.32
,United Kingdom - Utility,19,0.76
 Brandverse Private Limited / 724147788177285,Pakistan - Authentication,50,1.15
,Pakistan - Utility,888,22.50
,United Arab Emirates - Authentication,3,0.06
,United Kingdom - Authentication,1,0.04
 BRKZ Inc. / 107883342167465,Egypt - Authentication,75,4.59
,Egypt - Marketing,28,2.98
,Egypt - Utility,21,1.47
,Pakistan - Authentication,42,0.99
,Pakistan - Marketing,67,3.15
