Product,Price type,Conversations,Discount percentage,Total
1LINK Pvt. Ltd,,,,
France - Service,List,11,--,$0.98
Germany - Service,List,15,--,$1.21
India - Service,List,2,--,$0.00
Italy - Service,List,56,--,$2.22
Malaysia - Service,List,10,--,$0.20
North America - Service,List,42,--,$0.41
Other - Service,List,35,--,$0.44
Pakistan - Service,List,"2,600",--,$36.94
Rest of Africa - Service,List,5,--,$0.20
Rest of Asia Pacific - Service,List,36,--,$0.76
Rest of Central & Eastern Europe - Service,List,16,--,$0.44
Rest of Middle East - Service,List,"1,627",--,$35.49
Rest of Western Europe - Service,List,38,--,$1.52
Saudi Arabia - Service,List,"2,553",--,$49.79
South Africa - Service,List,23,--,$0.40
Spain - Service,List,34,--,$1.27
United Arab Emirates - Service,List,"1,298",--,$24.64
United Kingdom - Service,List,111,--,$4.31
,,,,$161.22
,,,,USD
Askari Bank Limited,,,,
France - Marketing,List,2,--,$0.28
France - Utility,List,2,--,$0.16
Germany - Marketing,List,3,--,$0.42
Germany - Utility,List,2,--,$0.18
India - Marketing,List,1,--,$0.01
India - Utility,List,1,--,$0.00
Indonesia - Utility,List,1,--,$0.02
Malaysia - Marketing,List,2,--,$0.18
Malaysia - Service,List,2,--,$0.04
Malaysia - Utility,List,3,--,$0.06
Netherlands - Marketing,List,2,--,$0.32
Netherlands - Utility,List,1,--,$0.08
Nigeria - Marketing,List,1,--,$0.05
Nigeria - Service,List,1,--,$0.03
Nigeria - Utility,List,4,--,$0.12
North America - Marketing,List,9,--,$0.27
North America - Service,List,1,--,$0.01
North America - Utility,List,21,--,$0.38
Other - Marketing,List,4,--,$0.24
Other - Service,List,2,--,$0.02
Other - Utility,List,9,--,$0.27
Pakistan - Marketing,List,"2,623",--,$124.09
Pakistan - Service,List,771,--,$10.90
Product,Price type,Conversations,Discount percentage,Total
Pakistan - Utility,List,"3,759",--,$95.12
Rest of Africa - Marketing,List,2,--,$0.04
Rest of Africa - Utility,List,3,--,$0.06
Rest of Asia Pacific - Marketing,List,9,--,$0.66
Rest of Asia Pacific - Utility,List,10,--,$0.47
Rest of Central & Eastern Europe - Utility,List,5,--,$0.30
Rest of Middle East - Marketing,List,17,--,$0.55
Rest of Middle East - Service,List,4,--,$0.08
Rest of Middle East - Utility,List,27,--,$0.54
Rest of Western Europe - Marketing,List,2,--,$0.12
Rest of Western Europe - Utility,List,6,--,$0.24
Saudi Arabia - Marketing,List,25,--,$1.00
Saudi Arabia - Service,List,6,--,$0.12
Saudi Arabia - Utility,List,31,--,$0.85
South Africa - Marketing,List,1,--,$0.04
South Africa - Utility,List,2,--,$0.04
Spain - Marketing,List,1,--,$0.06
Spain - Utility,List,2,--,$0.08
Turkey - Marketing,List,2,--,$0.02
Turkey - Service,List,2,--,$0.00
Turkey - Utility,List,5,--,$0.05
United Arab Emirates - Marketing,List,48,--,$1.60
United Arab Emirates - Service,List,4,--,$0.08
United Arab Emirates - Utility,List,58,--,$1.16
United Kingdom - Marketing,List,22,--,$1.54
United Kingdom - Service,List,2,--,$0.08
United Kingdom - Utility,List,31,--,$1.24
,,,,$244.27
,,,,USD
Baitussalam Welfare Trust,,,,
North America - Utility,List,1,--,$0.02
Pakistan - Utility,List,110,--,$2.87
Saudi Arabia - Utility,List,1,--,$0.03
,,,,$2.92
,,,,USD
Brandverse Private Limited,,,,
Pakistan - Authentication,List,50,--,$1.13
Pakistan - Utility,List,766,--,$19.44
,,,,$20.57
,,,,USD
BRKZ Inc.,,,,
Egypt - Authentication,List,54,--,$3.31
Product,Price type,Conversations,Discount percentage,Total
Egypt - Marketing,List,23,--,$2.45
Egypt - Utility,List,28,--,$1.96
Pakistan - Authentication,List,46,--,$1.09
Pakistan - Marketing,List,77,--,$3.63
Pakistan - Utility,List,42,--,$1.12
Rest of Middle East - Marketing,List,1,--,$0.03
Saudi Arabia - Authentication,List,183,--,$4.15
Saudi Arabia - Marketing,List,362,--,$14.74
Saudi Arabia - Utility,List,363,--,$9.17
United Arab Emirates - Authentication,List,8,--,$0.16
United Arab Emirates - Marketing,List,8,--,$0.25
United Arab Emirates - Utility,List,2,--,$0.04
,,,,$42.10
,,,,USD
Central Depository Company of Pakistan,,,,
Limited,,,,
Italy - Authentication,List,2,--,$0.08
Nigeria - Utility,List,1,--,$0.03
North America - Authentication,List,3,--,$0.03
North America - Utility,List,1,--,$0.02
Pakistan - Authentication,List,103,--,$2.36
Pakistan - Marketing,List,2,--,$0.10
Pakistan - Utility,List,107,--,$2.73
Rest of Africa - Utility,List,1,--,$0.02
Rest of Middle East - Authentication,List,9,--,$0.18
Rest of Middle East - Utility,List,2,--,$0.04
Saudi Arabia - Authentication,List,26,--,$0.61
United Arab Emirates - Authentication,List,15,--,$0.29
United Arab Emirates - Utility,List,4,--,$0.08
,,,,$6.57
,,,,USD
Dr. Essa Laboratory and Diagnostic Centre,,,,
Indonesia - Service,List,1,--,$0.02
Nigeria - Service,List,1,--,$0.03
North America - Service,List,10,--,$0.10
Pakistan - Service,List,"1,406",--,$19.96
Rest of Asia Pacific - Service,List,3,--,$0.06
Rest of Middle East - Service,List,3,--,$0.06
Rest of Western Europe - Service,List,2,--,$0.08
Saudi Arabia - Service,List,4,--,$0.08
United Arab Emirates - Service,List,6,--,$0.12
United Kingdom - Service,List,2,--,$0.08
,,,,$20.59
,,,,USD
Product,Price type,Conversations,Discount percentage,Total
Dubai Islamic Bank Pakistan Limited,,,,
North America - Marketing,List,1,--,$0.03
Pakistan - Marketing,List,202,--,$9.57
Rest of Africa - Marketing,List,1,--,$0.02
Rest of Asia Pacific - Marketing,List,2,--,$0.14
Saudi Arabia - Marketing,List,3,--,$0.12
United Arab Emirates - Marketing,List,5,--,$0.15
United Kingdom - Marketing,List,1,--,$0.07
,,,,$10.10
,,,,USD
